case_id,accm_txn_complete_time
1,5/14/2022
2,5/15/2022
3,5/16/2022
4,5/17/2022
5,5/18/2022
6,5/19/2022
7,5/20/2022
8,5/21/2022
9,5/22/2022
10,5/23/2022
11,5/24/2022
12,5/25/2022
13,5/26/2022
14,5/27/2022
15,5/28/2022
16,5/29/2022
17,5/30/2022
18,5/31/2022
19,6/1/2022
20,6/2/2022
21,6/3/2022
22,6/4/2022
23,6/5/2022
24,6/6/2022
25,6/7/2022
26,6/8/2022
27,6/9/2022
28,6/10/2022
29,6/11/2022
30,6/12/2022
31,6/13/2022
32,6/14/2022
33,5/15/2022
34,5/16/2022
35,5/17/2022
36,5/18/2022
37,5/19/2022
38,5/20/2022
39,5/21/2022
40,5/22/2022
41,5/23/2022
42,5/24/2022
43,5/25/2022
44,5/26/2022
45,5/27/2022
46,5/28/2022
47,5/29/2022
48,5/30/2022
49,5/31/2022
50,6/1/2022
51,6/2/2022
52,6/3/2022
53,6/4/2022
54,6/5/2022
55,6/6/2022
56,6/7/2022
57,6/8/2022
58,6/9/2022
59,6/10/2022
60,6/11/2022
61,6/12/2022
62,6/13/2022
63,6/14/2022
64,5/15/2022
65,5/16/2022
66,5/17/2022
67,5/18/2022
68,5/19/2022
69,5/20/2022
70,5/21/2022
71,5/22/2022
72,5/23/2022
73,5/24/2022
74,5/25/2022
75,5/26/2022
76,5/27/2022
77,5/28/2022
78,5/29/2022
79,5/30/2022
80,5/31/2022
81,6/1/2022
82,6/2/2022
83,6/3/2022
84,6/4/2022
85,6/5/2022
86,6/6/2022
87,6/7/2022
88,6/8/2022
89,6/9/2022
90,6/10/2022
91,6/11/2022
92,6/12/2022
93,6/13/2022
94,6/14/2022
95,5/15/2022
96,5/16/2022
97,5/17/2022
98,5/18/2022
99,5/19/2022
100,5/20/2022
101,5/21/2022
102,5/22/2022
103,5/23/2022
104,5/24/2022
105,5/25/2022
106,5/26/2022
107,5/27/2022
108,5/28/2022
109,5/29/2022
110,5/30/2022
111,5/31/2022
112,6/1/2022
113,6/2/2022
114,6/3/2022
115,6/4/2022
116,6/5/2022
117,6/6/2022
118,6/7/2022
119,6/8/2022
120,6/9/2022
121,6/10/2022
122,6/11/2022
123,6/12/2022
124,6/13/2022
125,6/14/2022
126,5/15/2022
127,5/16/2022
128,5/17/2022
129,5/18/2022
130,5/19/2022
131,5/20/2022
132,5/21/2022
133,5/22/2022
134,5/23/2022
135,5/24/2022
136,5/25/2022
137,5/26/2022
138,5/27/2022
139,5/28/2022
140,5/29/2022
141,5/30/2022
142,5/31/2022
143,6/1/2022
144,6/2/2022
145,6/3/2022
146,6/4/2022
147,6/5/2022
148,6/6/2022
149,6/7/2022
150,6/8/2022
151,6/9/2022
152,6/10/2022
153,6/11/2022
154,6/12/2022
155,6/13/2022
156,6/14/2022
157,5/15/2022
158,5/16/2022
159,5/17/2022
160,5/18/2022
161,5/19/2022
162,5/20/2022
163,5/21/2022
164,5/22/2022
165,5/23/2022
166,5/24/2022
167,5/25/2022
168,5/26/2022
169,5/27/2022
170,5/28/2022
171,5/29/2022
172,5/30/2022
173,5/31/2022
174,6/1/2022
175,6/2/2022
176,6/3/2022
177,6/4/2022
178,6/5/2022
179,6/6/2022
180,6/7/2022
181,6/8/2022
182,6/9/2022
183,6/10/2022
184,6/11/2022
185,6/12/2022
186,6/13/2022
187,6/14/2022
188,5/14/2022
189,5/15/2022
190,5/16/2022
191,5/17/2022
192,5/18/2022
193,5/19/2022
194,5/20/2022
195,5/21/2022
196,5/22/2022
197,5/23/2022
198,5/24/2022
199,5/25/2022
200,5/26/2022
201,5/27/2022
202,5/28/2022
203,5/29/2022
204,5/30/2022
205,5/31/2022
206,6/1/2022
207,6/2/2022
208,6/3/2022
209,6/4/2022
210,6/5/2022
211,6/6/2022
212,6/7/2022
213,6/8/2022
214,6/9/2022
215,6/10/2022
216,6/11/2022
217,6/12/2022
218,6/13/2022
219,6/14/2022
220,5/15/2022
221,5/16/2022
222,5/17/2022
223,5/18/2022
224,5/19/2022
225,5/20/2022
226,5/21/2022
227,5/22/2022
228,5/23/2022
229,5/24/2022
230,5/25/2022
231,5/26/2022
232,5/27/2022
233,5/28/2022
234,5/29/2022
235,5/30/2022
236,5/31/2022
237,6/1/2022
238,6/2/2022
239,6/3/2022
240,6/4/2022
241,6/5/2022
242,6/6/2022
243,6/7/2022
244,6/8/2022
245,6/9/2022
246,6/10/2022
247,6/11/2022
248,6/12/2022
249,6/13/2022
250,6/14/2022
251,5/15/2022
252,5/16/2022
253,5/17/2022
254,5/18/2022
255,5/19/2022
256,5/20/2022
257,5/21/2022
258,5/22/2022
259,5/23/2022
260,5/24/2022
261,5/25/2022
262,5/26/2022
263,5/27/2022
264,5/28/2022
265,5/29/2022
266,5/30/2022
267,5/31/2022
268,6/1/2022
269,6/2/2022
270,6/3/2022
271,6/4/2022
272,6/5/2022
273,6/6/2022
274,6/7/2022
275,6/8/2022
276,6/9/2022
277,6/10/2022
278,6/11/2022
279,6/12/2022
280,6/13/2022
281,6/14/2022
282,5/15/2022
283,5/16/2022
284,5/17/2022
285,5/18/2022
286,5/19/2022
287,5/20/2022
288,5/21/2022
289,5/22/2022
290,5/23/2022
291,5/24/2022
292,5/25/2022
293,5/26/2022
294,5/27/2022
295,5/28/2022
296,5/29/2022
297,5/30/2022
298,5/31/2022
299,6/1/2022
300,6/2/2022
301,6/3/2022
302,6/4/2022
303,6/5/2022
304,6/6/2022
305,6/7/2022
306,6/8/2022
307,6/9/2022
308,6/10/2022
309,6/11/2022
310,6/12/2022
311,6/13/2022
312,6/14/2022
313,5/15/2022
314,5/16/2022
315,5/17/2022
316,5/18/2022
317,5/19/2022
318,5/20/2022
319,5/21/2022
320,5/22/2022
321,5/23/2022
322,5/24/2022
323,5/25/2022
324,5/26/2022
325,5/27/2022
326,5/28/2022
327,5/29/2022
328,5/30/2022
329,5/31/2022
330,6/1/2022
331,6/2/2022
332,6/3/2022
333,6/4/2022
334,6/5/2022
335,6/6/2022
336,6/7/2022
337,6/8/2022
338,6/9/2022
339,6/10/2022
340,6/11/2022
341,6/12/2022
342,6/13/2022
343,6/14/2022
344,5/15/2022
345,5/16/2022
346,5/17/2022
347,5/18/2022
348,5/19/2022
349,5/20/2022
350,5/21/2022
351,5/22/2022
352,5/23/2022
353,5/24/2022
354,5/25/2022
355,5/26/2022
356,5/27/2022
357,5/28/2022
358,5/29/2022
359,5/30/2022
360,5/31/2022
361,6/1/2022
362,6/2/2022
363,6/3/2022
364,6/4/2022
365,6/5/2022
366,6/6/2022
367,6/7/2022
368,6/8/2022
369,6/9/2022
370,6/10/2022
371,6/11/2022
372,6/12/2022
373,6/13/2022
374,6/14/2022
375,5/14/2022
376,5/15/2022
377,5/16/2022
378,5/17/2022
379,5/18/2022
380,5/19/2022
381,5/20/2022
382,5/21/2022
383,5/22/2022
384,5/23/2022
385,5/24/2022
386,5/25/2022
387,5/26/2022
388,5/27/2022
389,5/28/2022
390,5/29/2022
391,5/30/2022
392,5/31/2022
393,6/1/2022
